,area_id,area_type,year,female_full_time_median_earnings,female_median_earnings,male_full_time_median_earnings,male_median_earnings,median_earnings,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,median_earnings_high_school,median_earnings_less_than_high_school,median_earnings_some_college_or_associates,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_1_to_9999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000,City,State
16604,1600000US3944632,region.place,2013,31912,16498,42977,34835,24899,44114,51719,20375,29659,26509,5.8,18.6,2.2,21.5,28.1,13.7,3.6,4.1,2.4,Logan,OH
16608,1600000US3922674,region.place,2013,53397,42288,109964,78359,53441,75278,100263,44500,0,40000,3.0,2.0,0.0,7.6,16.9,11.6,6.7,8.0,44.2,Dry Run,OH
16616,1600000US3940642,region.place,2013,48239,36065,67125,52040,43021,67917,79750,31831,22250,41781,1.8,10.7,1.2,8.6,17.1,16.4,7.0,18.6,18.6,Kirtland,OH
16618,1600000US3986254,region.place,2013,39918,26684,44722,36780,31603,46842,72143,32238,16625,38134,2.8,17.9,0.0,15.7,27.5,18.7,3.8,6.4,7.2,Withamsville,OH
16623,1600000US3931304,region.place,2013,52344,43068,58412,47782,45306,50428,75022,30417,26985,36326,2.0,7.1,0.3,12.6,19.6,18.6,8.0,16.4,15.4,Grandview Heights,OH
16628,1600000US3967356,region.place,2013,34000,23934,44453,38969,30533,56625,57885,31161,21528,30231,3.0,14.7,2.5,20.6,26.8,14.9,3.2,9.5,4.8,Rittman,OH
16631,1600000US3978470,region.place,2013,33702,22476,44980,41981,31749,55583,60000,36888,30882,31803,4.0,10.3,0.6,21.0,32.6,13.3,7.1,6.7,4.4,Union,OH
16636,1600000US3931150,region.place,2013,32583,25000,41181,20278,21637,43750,67361,27120,8415,30445,0.8,20.2,5.4,22.8,16.7,18.6,7.0,6.4,2.1,Grafton,OH
16643,1600000US3964150,region.place,2013,33750,20771,48005,38158,25703,40792,57500,25387,5950,33591,2.6,13.6,3.0,17.2,31.7,10.4,9.6,5.9,6.0,Port Clinton,OH
16645,1600000US3961686,region.place,2013,66538,29286,133333,102981,60409,58594,94005,29524,132083,43295,1.4,2.6,0.0,10.0,8.1,6.9,8.6,11.1,51.3,Pepper Pike,OH
16646,1600000US3927944,region.place,2013,34874,25721,59522,40221,30304,48077,57708,29129,16563,32276,3.0,11.9,1.0,15.4,23.9,16.6,7.5,12.6,8.1,Fort Shawnee,OH
16647,1600000US3976582,region.place,2013,71360,30625,214198,154667,77788,60313,203565,31875,0,51477,2.1,2.9,0.7,4.6,7.7,7.1,2.9,10.4,61.6,The Village,OH
16649,1600000US3921266,region.place,2013,42169,30360,43400,31563,31049,43606,51071,25764,17610,37667,3.1,10.5,0.5,21.9,24.2,21.7,8.1,7.2,2.8,Deer Park,OH
16653,1600000US3942994,region.place,2013,32524,27234,52123,45147,32445,38065,63382,30982,33984,32639,5.0,7.6,1.5,28.8,17.1,19.5,10.0,4.4,6.1,Lexington,OH
16657,1600000US3932606,region.place,2013,44417,26170,47139,39583,33804,56855,54722,32355,16921,35690,1.4,10.5,1.7,19.0,24.2,23.8,4.4,10.4,4.6,Groveport,OH
16658,1600000US3978176,region.place,2013,28571,16511,34271,25425,19405,37396,55956,22917,16107,14330,7.7,24.9,0.0,20.2,30.8,13.4,1.8,0.7,0.5,Uhrichsville,OH
16670,1600000US3977840,region.place,2013,70330,45804,124297,96000,66941,80701,97417,29500,0,51148,1.6,1.6,0.0,3.4,9.4,11.4,13.8,9.4,49.4,Turpin Hills,OH
16671,1600000US3954866,region.place,2013,25625,19479,36639,31024,23481,48333,56250,30096,21094,25566,10.2,21.6,2.1,20.0,29.9,6.4,5.7,3.1,1.0,New Lexington,OH
16675,1600000US3952612,region.place,2013,31203,24210,51164,32240,27362,63631,52431,25667,17292,30689,3.2,20.3,0.5,27.4,14.3,13.2,5.5,8.6,7.0,Mount Carmel,OH
16676,1600000US3973446,region.place,2013,33225,22108,85702,42417,29159,71389,68861,26306,26635,16835,2.4,14.0,1.0,22.8,4.5,19.4,4.7,11.3,19.9,South Lebanon,OH
16680,1600000US3954264,region.place,2013,39759,30457,41000,25190,27421,29444,45511,24526,35638,41953,6.4,14.7,0.0,16.6,26.4,16.5,4.5,9.2,5.7,New Burlington,OH
16685,1600000US3951816,region.place,2013,64241,37534,86667,65650,52115,58450,84583,18828,0,31786,0.7,3.3,1.6,4.2,16.0,15.1,9.1,13.6,36.4,Montrose-Ghent,OH
16687,1600000US3932088,region.place,2013,23555,17285,34273,26719,20172,31786,48333,21917,17266,26175,4.3,25.3,7.6,31.7,18.6,7.7,2.5,1.0,1.3,Greenfield,OH
16691,1600000US3959010,region.place,2013,69211,29559,104700,80917,57292,62722,110800,21413,0,32073,0.7,5.0,0.0,6.6,10.2,11.4,8.0,10.5,47.6,Ottawa Hills,OH
16696,1600000US3957862,region.place,2013,42052,21779,40243,31173,25077,66250,130396,25240,21000,37604,0.5,17.9,0.2,18.7,28.8,15.4,7.8,4.0,6.7,Obetz,OH
16698,1600000US3971220,region.place,2013,26747,18178,30260,26832,24400,30224,0,26796,25730,24231,3.9,21.8,1.4,45.4,19.0,7.5,1.0,0.0,0.0,Sebring,OH
16704,1600000US3905074,region.place,2013,26619,17392,29205,22669,21346,32321,47500,23169,12969,22095,6.7,34.2,0.0,27.2,17.1,8.6,2.8,2.8,0.6,Bellaire,OH
16705,1600000US3983580,region.place,2013,31466,18297,44732,31313,23987,48750,73125,26660,12083,32561,4.8,18.2,2.0,21.1,21.8,13.9,6.3,8.8,3.1,West Jefferson,OH
16710,1600000US3913358,region.place,2013,55000,29211,73125,46477,37096,46192,77125,22262,0,28551,0.5,8.8,0.6,15.5,12.0,15.1,7.4,9.4,30.7,Chagrin Falls,OH
16712,1600000US3952906,region.place,2013,32377,18692,38560,33137,25717,29119,55179,19089,18365,34095,0.8,8.6,3.6,30.5,28.7,16.0,4.0,2.2,5.6,Mount Orab,OH
16718,1600000US3950834,region.place,2013,28125,17873,46181,33194,25410,29688,55134,24410,40577,37321,4.7,20.1,0.8,17.9,20.2,19.6,7.1,8.8,0.8,Minerva,OH
16720,1600000US3973684,region.place,2013,52589,22292,128092,100458,49384,53750,82604,22604,0,34643,0.7,6.8,0.0,2.3,12.5,12.0,5.6,12.6,47.5,South Russell,OH
16725,1600000US3968602,region.place,2013,38984,26944,44359,35671,31976,38415,60859,30839,17399,44013,1.5,9.5,1.0,16.9,35.9,11.7,2.0,13.8,7.7,Ross,OH
16727,1600000US3961252,region.place,2013,27379,20938,47517,24868,22980,33750,76063,24738,10972,28000,2.9,21.1,1.1,28.6,20.5,12.3,3.8,7.3,2.4,Paulding,OH
16728,1600000US3922008,region.place,2013,43500,31992,46061,36594,33476,47417,66625,31920,24323,31356,0.0,7.6,1.3,18.4,34.8,8.7,2.8,13.4,13.0,Dillonvale,OH
16739,1600000US3970050,region.place,2013,43301,29795,65208,40784,34846,54750,73036,32885,37083,29412,0.0,8.4,0.0,19.0,17.1,15.5,8.4,11.6,20.0,Salem Heights,OH
16740,1600000US3901672,region.place,2013,72833,47857,92202,62438,53542,63875,70500,16250,0,48036,0.7,3.8,1.6,3.1,10.4,20.9,9.4,11.0,39.1,Amberley,OH
16747,1600000US3944366,region.place,2013,30357,20612,37609,23182,21581,30000,17308,21768,11623,35035,7.4,20.2,6.4,13.2,30.4,17.0,2.6,1.4,1.4,Lockland,OH
16749,1600000US3948468,region.place,2013,49716,30735,84762,53125,42648,47955,75417,19315,0,42500,3.1,4.8,2.5,5.0,23.0,11.3,8.5,13.0,28.8,Mayfield,OH
16750,1600000US3972620,region.place,2013,39931,34356,81130,66784,42237,54886,83696,78438,0,37238,2.6,7.0,0.0,8.2,21.4,3.9,14.3,11.2,31.4,Sixteen Mile Stand,OH
16752,1600000US3947600,region.place,2013,48152,33977,72083,67940,45856,68279,60347,29792,49583,29423,2.9,7.7,0.0,8.3,16.4,10.7,14.2,9.0,30.8,Mariemont,OH
16757,1600000US3943722,region.place,2013,25263,12188,35283,25470,14375,31346,85875,21833,11492,15625,6.4,18.9,1.6,29.4,25.7,5.2,5.3,1.6,5.9,Lincoln Heights,OH
16759,1600000US3952052,region.place,2013,74732,35769,100260,76141,62297,68398,109792,42054,0,39130,0.0,6.0,3.4,5.4,2.6,11.7,12.4,13.9,44.6,Moreland Hills,OH
16761,1600000US3929204,region.place,2013,26042,19556,37847,16713,18917,37679,49196,16553,9531,23125,7.0,28.2,5.4,9.4,22.9,3.6,3.6,14.7,5.2,Gallipolis,OH
16762,1600000US3958604,region.place,2013,66061,32021,100833,72823,49167,37431,86875,20568,85673,40268,2.0,3.5,3.6,4.7,13.1,11.6,8.4,14.6,38.5,Orange,OH
16766,1600000US3945934,region.place,2013,45192,22396,52813,40238,25159,45694,54000,23603,40000,37143,6.0,16.3,0.0,8.9,24.5,19.3,10.8,10.5,3.7,McDonald,OH
16768,1600000US3935098,region.place,2013,33289,20395,37266,25855,21534,56111,55208,28173,15799,26518,5.9,18.7,1.3,22.0,31.2,10.2,5.8,2.3,2.6,Hicksville,OH
16773,1600000US3921616,region.place,2013,33021,23516,41042,27347,25470,37552,62614,22063,25156,28224,9.3,16.6,2.0,22.0,20.1,15.1,2.2,8.2,4.5,Delta,OH
16774,1600000US3926306,region.place,2013,34712,26516,50000,36119,30286,30875,41458,30117,40172,36806,0.0,14.1,2.5,20.1,30.5,10.9,8.3,11.1,2.5,Fairport Harbor,OH
16776,1600000US3928058,region.place,2013,54597,16875,80625,71450,48493,65758,47457,54779,0,44655,1.2,2.5,0.0,5.6,16.0,17.6,9.4,12.6,35.1,Four Bridges,OH
16779,1600000US3922568,region.place,2013,39375,22265,48231,42679,35573,41113,41058,39052,7188,31000,5.6,11.3,1.8,13.0,38.0,14.0,2.7,7.3,6.3,Doylestown,OH
16780,1600000US3941454,region.place,2013,33469,27743,40536,32348,30876,46350,59183,28631,23011,32468,3.5,10.8,0.4,32.9,30.0,11.3,5.5,2.9,2.7,Lakemore,OH
16781,1600000US3905013,region.place,2013,54297,35288,59083,52606,48689,61715,74716,49191,31146,45436,2.6,5.1,1.7,11.2,15.5,27.6,9.1,16.7,10.5,Beechwood Trails,OH
16782,1600000US3980486,region.place,2013,34688,24063,40119,28221,26526,21750,36750,27674,37841,35663,4.1,15.0,1.6,22.9,25.7,17.8,1.7,5.9,5.3,Walbridge,OH
16784,1600000US3976568,region.place,2013,31685,9266,40142,20163,16167,14844,41069,17917,16375,22500,0.9,26.9,4.0,17.1,39.1,5.1,0.0,6.9,0.0,The Plains,OH
16792,1600000US3950918,region.place,2013,41215,21563,54926,44023,35293,49375,72188,39500,4479,32083,1.7,8.0,1.3,18.1,21.0,17.2,10.2,11.1,11.4,Minster,OH
16794,1600000US3929442,region.place,2013,32500,22010,44803,36587,27220,37574,48750,29522,37000,30172,3.4,18.1,0.8,17.1,29.8,10.0,8.6,8.4,3.8,Garrettsville,OH
16799,1600000US3945304,region.place,2013,27232,12727,60000,41579,20634,35375,64609,20792,0,43750,0.0,21.0,11.0,9.7,15.6,19.4,13.6,4.3,5.4,Lucasville,OH
16806,1600000US3949700,region.place,2013,40815,22153,50559,38514,31759,39663,69125,35082,31591,34904,1.9,14.7,0.0,11.9,33.1,21.3,7.3,7.3,2.5,Middlefield,OH
16807,1600000US3921868,region.place,2013,31395,24519,57344,44946,30893,50865,85263,29769,25714,29697,2.9,7.5,2.2,21.1,23.8,12.3,6.5,13.2,10.5,Devola,OH
16809,1600000US3955678,region.place,2013,51382,32361,62452,47200,39329,68063,75694,35909,21316,34191,0.0,10.7,0.6,9.6,22.2,13.2,8.3,13.9,21.5,Newtown,OH
16813,1600000US3919050,region.place,2013,32476,25333,39706,37027,31250,57632,61000,32178,21681,32500,1.8,16.6,1.1,23.1,28.2,15.7,3.6,5.1,4.8,Covington,OH
16820,1600000US3972494,region.place,2013,53182,38958,82639,69821,51212,78558,83472,41111,0,40391,0.0,7.6,0.7,3.2,21.0,16.0,2.4,9.8,39.3,Silver Lake,OH
16825,1600000US3979114,region.place,2013,25639,20458,36341,31650,25313,37188,27000,27857,18000,32083,9.5,17.1,1.1,27.3,27.0,10.2,1.1,3.3,3.4,Utica,OH
16826,1600000US3954166,region.place,2013,19458,15742,41172,17014,16200,16793,40833,19444,18287,18472,10.6,32.3,4.9,14.7,23.1,8.7,2.2,0.0,3.5,New Boston,OH
16835,1600000US3929498,region.place,2013,62277,37273,106935,81786,55625,58750,110625,26042,0,33750,0.0,9.0,0.8,7.8,4.2,14.0,2.7,12.2,49.3,Gates Mills,OH
16840,1600000US3919344,region.place,2013,34000,25357,35208,30893,27331,32143,37000,30400,28000,30982,7.0,16.5,0.9,28.5,25.1,12.3,5.4,0.6,3.7,Creston,OH
16841,1600000US3968714,region.place,2013,36975,26917,43627,31094,30297,56250,75125,32246,0,34057,0.0,18.0,2.3,15.6,44.4,5.8,6.9,1.2,5.8,Rossmoyne,OH
16842,1600000US3976428,region.place,2013,76250,23523,111250,79732,51413,77679,81667,27083,0,38750,0.6,4.4,0.3,4.5,10.9,13.8,1.9,13.5,50.1,Terrace Park,OH
16849,1600000US3930380,region.place,2013,52500,31169,100789,71198,42500,54583,91875,23235,19306,36908,2.4,10.0,0.5,6.1,16.2,12.4,4.4,9.7,38.3,Glendale,OH
16852,1600000US3914100,region.place,2013,50288,40069,69474,43306,42286,41932,74886,23500,0,44605,2.5,9.1,0.0,7.2,24.0,10.4,9.9,27.0,9.9,Chesterland,OH
16857,1600000US3912084,region.place,2013,26250,17365,37604,31122,25107,31484,65938,24500,9861,31042,0.9,27.3,1.0,29.3,23.8,11.7,1.0,4.1,0.9,Cardington,OH
16859,1600000US3942602,region.place,2013,32656,23816,34810,31648,27407,28409,21875,30638,42813,32864,5.8,15.5,3.7,27.3,29.5,13.7,1.5,3.0,0.0,Leipsic,OH
16860,1600000US3985946,region.place,2013,26250,12586,36438,30368,18920,46875,0,29167,11176,25250,9.1,22.4,0.0,26.4,22.8,13.2,3.3,2.8,0.0,Windham,OH
16866,1600000US3938374,region.place,2013,27460,22404,45750,36208,27190,41250,49000,27469,19150,30446,2.9,13.9,0.6,30.4,27.3,13.9,4.9,5.1,1.0,Jamestown,OH
16867,1600000US3986492,region.place,2013,41071,22688,52273,41367,28173,42667,51125,23725,4375,37500,6.5,13.2,1.5,13.3,22.1,20.1,10.3,7.7,5.3,Woodville,OH
16871,1600000US3985092,region.place,2013,36307,0,36683,4206,3263,36023,61786,35536,0,36500,6.6,9.9,6.1,13.7,28.3,9.4,11.8,0.0,14.2,Wilberforce,OH
16873,1600000US3979268,region.place,2013,51053,30263,69792,49191,36914,58125,66250,32031,40250,48194,1.7,5.2,0.0,12.4,16.7,21.8,9.4,17.2,15.6,Valley View,OH
16875,1600000US3908560,region.place,2013,23873,17244,28363,24557,22551,41250,63750,19022,14769,23862,13.7,28.9,4.0,24.7,7.5,10.4,9.7,1.1,0.0,Bridgeport,OH
16877,1600000US3961420,region.place,2013,45000,17171,28750,21023,18837,43333,64091,19625,18750,33125,7.0,27.2,5.3,14.4,10.8,17.8,5.0,7.7,4.8,Peebles,OH
16878,1600000US3955118,region.place,2013,30865,20484,44950,38929,25455,42125,47500,24261,48438,29792,3.5,24.0,1.0,9.3,28.9,19.7,4.0,5.4,4.2,New Middletown,OH
16879,1600000US3945822,region.place,2013,24178,14821,39219,26176,20417,39167,44167,22652,18250,19821,12.5,23.2,3.1,21.4,24.5,6.8,2.8,3.5,2.2,McConnelsville,OH
16881,1600000US3963478,region.place,2013,30268,14753,51250,22202,20110,54728,0,16596,5556,24310,15.7,16.5,5.0,10.4,17.4,32.4,2.6,0.0,0.0,Pleasant Grove,OH
16896,1600000US3933362,region.place,2013,38938,28869,62500,41667,37525,0,87857,29683,0,47188,0.6,17.5,0.0,14.0,19.9,18.8,2.0,22.0,5.2,Harbor Hills,OH
16898,1600000US3973124,region.place,2013,34583,20709,40658,29318,25108,43906,23333,28214,14375,35917,7.5,13.4,1.2,22.3,27.6,20.1,6.6,0.4,0.9,South Charleston,OH
16899,1600000US3928532,region.place,2013,40250,31513,46429,25833,30724,31375,56705,20921,35469,37222,3.5,18.6,8.8,5.1,27.9,9.8,5.3,18.6,2.4,Franklin Furnace,OH
16907,1600000US3902204,region.place,2013,35208,17917,42708,35529,26086,42976,57250,24735,0,31042,3.8,13.2,1.3,16.2,31.9,16.6,10.9,4.8,1.3,Antwerp,OH
16924,1600000US3945808,region.place,2013,28125,21012,39205,33173,25215,50795,54063,28750,14188,27292,7.6,17.7,1.7,22.3,28.1,19.7,0.8,0.0,2.1,McComb,OH
16927,1600000US3984196,region.place,2013,23355,17480,36983,31100,23672,29559,36667,26776,25250,23650,3.5,30.5,0.0,22.3,21.2,13.0,6.0,2.2,1.3,West Salem,OH
16934,1600000US3923324,region.place,2013,30391,20658,38971,30724,26157,39375,20833,26818,23750,31705,7.7,19.1,1.1,23.8,18.6,15.6,4.3,6.8,3.0,East Canton,OH
16942,1600000US3907832,region.place,2013,38281,23661,42098,32157,30692,46563,45000,32266,7083,30000,6.8,10.2,1.1,23.2,26.6,19.6,7.2,1.5,3.8,Botkins,OH
16943,1600000US3983972,region.place,2013,30720,25192,32500,26797,25659,36250,46250,27891,18125,28542,2.0,22.8,1.5,33.8,26.2,5.4,5.6,0.7,2.0,Weston,OH
16945,1600000US3931434,region.place,2013,42794,26844,68188,40833,36420,53839,51958,26225,0,36619,0.0,2.7,0.0,23.6,15.7,9.7,18.7,8.5,21.1,Granville South,OH
16949,1600000US3942476,region.place,2013,30882,21429,38536,30887,25929,25104,42212,30489,25938,22708,0.0,19.2,0.8,30.6,29.4,14.8,3.4,1.8,0.0,Leesburg,OH
16954,1600000US3925144,region.place,2013,39000,23393,54688,37019,32500,43750,59500,34375,30250,34706,0.0,19.1,1.3,15.1,15.8,25.0,13.6,9.4,0.7,Elmore,OH
16955,1600000US3931262,region.place,2013,28750,27500,52411,36821,30563,48917,100221,37667,0,37071,3.4,13.2,3.9,10.6,23.3,9.6,4.4,11.4,20.2,Grandview,OH
16956,1600000US3927902,region.place,2013,30714,20810,46379,43810,30428,39000,48500,31625,43125,32292,1.9,18.9,0.0,16.7,32.0,22.5,3.6,1.9,2.5,Fort Recovery,OH
16965,1600000US3919596,region.place,2013,26389,21993,41146,19651,21588,45357,0,22056,7218,29531,7.5,15.9,3.2,27.3,22.1,11.7,10.7,1.6,0.0,Crystal Lakes,OH
16967,1600000US3939536,region.place,2013,43929,30086,54018,47838,36750,59917,60469,23214,28864,41630,2.5,6.5,0.6,17.3,21.1,28.0,10.2,11.1,2.7,Kalida,OH
16971,1600000US3907790,region.place,2013,68214,31944,82778,57000,40156,79063,118750,25795,35938,38272,0.6,3.5,3.1,8.5,18.7,4.6,10.2,13.5,37.3,Boston Heights,OH
16973,1600000US3910436,region.place,2013,37569,26184,46458,30982,29545,43958,51250,35313,14000,29583,9.3,15.4,0.0,19.6,22.8,22.0,4.0,6.1,0.8,Burton,OH
16976,1600000US3914288,region.place,2013,57902,50878,67955,51406,51121,57545,68636,32188,0,45799,0.0,8.3,0.0,1.9,14.9,32.6,10.5,19.7,12.1,Choctaw Lake,OH
16987,1600000US3908336,region.place,2013,64583,42917,103750,71250,55938,54861,97857,30341,11875,34792,1.4,2.5,0.9,6.9,11.3,13.4,10.8,9.7,43.1,Bratenahl,OH
16989,1600000US3909200,region.place,2013,23841,20903,42014,35417,23659,36250,0,23792,0,33875,0.0,25.2,3.2,10.3,43.3,7.8,3.2,4.6,2.4,Brookfield Center,OH
16992,1600000US3951618,region.place,2013,33750,21076,43088,35096,30531,40568,36250,34375,14750,31641,1.3,22.3,1.5,17.0,30.0,18.9,4.5,4.5,0.0,Monroeville,OH
16994,1600000US3918546,region.place,2013,30441,23750,32411,27273,26118,41667,31250,25664,10313,28977,3.9,18.2,1.7,34.4,19.9,17.0,0.0,3.4,1.5,Convoy,OH
16998,1600000US3913778,region.place,2013,16750,13934,32500,19718,15859,0,18500,17500,21250,32031,19.7,27.5,1.3,24.9,13.7,5.6,1.3,6.0,0.0,Chauncey,OH
17001,1600000US3963534,region.place,2013,36250,21250,47798,43182,31190,46250,28750,24659,6477,39821,1.0,8.6,0.0,14.6,38.3,23.9,6.8,5.0,1.8,Pleasant Hill,OH
17002,1600000US3970534,region.place,2013,25461,18589,33864,28750,24833,0,22500,28988,20417,25100,3.8,22.6,4.9,37.0,14.7,11.3,2.3,0.8,2.6,Sardinia,OH
17007,1600000US3944636,region.place,2013,36875,22309,36536,36302,35462,23571,0,36538,0,36313,0.0,29.0,0.0,8.8,25.8,15.3,11.5,7.7,1.9,Logan Elm Village,OH
17010,1600000US3961322,region.place,2013,27750,22159,45833,39286,29150,63333,64063,26875,19091,30588,3.7,17.8,4.5,24.6,27.7,13.0,5.9,2.8,0.0,Payne,OH
17018,1600000US3955776,region.place,2013,35938,23409,41339,35288,30169,38750,74632,28942,16125,29583,0.8,20.5,1.1,19.1,23.9,16.0,9.3,4.8,4.5,New Washington,OH
17019,1600000US3955790,region.place,2013,34063,17273,42868,39250,26833,55938,52188,26563,18036,33438,1.8,16.5,3.6,19.1,27.6,15.7,4.1,6.2,5.4,New Waterford,OH
17020,1600000US3987178,region.place,2013,26250,17279,40250,27969,22581,30978,48125,22188,14432,27411,10.1,21.0,4.2,20.4,21.2,9.8,4.0,6.1,3.2,Yorkville,OH
17021,1600000US3964780,region.place,2013,36136,28068,41969,40031,33571,43438,67250,28274,0,39583,1.5,10.0,0.8,23.3,28.4,17.1,10.0,7.9,1.0,Prospect,OH
17025,1600000US3919106,region.place,2013,31346,19291,40592,29135,22955,39063,40417,19950,30313,30893,2.6,18.3,1.1,20.1,31.9,8.8,7.3,6.2,3.7,Craig Beach,OH
17026,1600000US3985876,region.place,2013,31136,21518,36613,33583,27679,34688,44375,31563,13000,25833,8.5,14.5,0.0,38.3,21.0,14.5,0.0,2.0,1.2,Winchester,OH
17030,1600000US3946144,region.place,2013,37679,32917,52917,37917,33361,43911,103594,26750,0,44417,1.4,11.4,3.2,14.2,41.6,15.1,3.7,0.0,9.4,McKinley Heights,OH
17031,1600000US3916182,region.place,2013,31118,28015,45208,33036,29605,53750,59821,27450,25625,38750,5.4,9.0,3.5,24.4,20.5,18.9,8.7,7.4,2.2,Clinton,OH
17032,1600000US3935255,region.place,2013,30375,13889,23750,5909,7453,25000,62917,17083,6818,21667,7.7,29.6,9.9,26.8,4.2,10.6,4.9,3.5,2.8,Highland Hills,OH
17034,1600000US3931206,region.place,2013,34028,19750,48173,32344,27554,34615,67917,22212,38333,31250,4.3,16.1,1.0,20.7,24.0,11.5,5.3,10.2,6.9,Grand Rapids,OH
17037,1600000US3907286,region.place,2013,30833,17688,30000,27031,23589,48750,0,27171,12639,24500,0.0,23.0,8.1,31.0,25.8,7.7,0.8,2.8,0.8,Bloomville,OH
17038,1600000US3945122,region.place,2013,43633,28250,56618,44931,41705,43693,128714,43185,0,42235,4.1,0.0,0.0,16.6,30.5,34.9,0.0,0.0,13.9,Loveland Park,OH
17046,1600000US3949462,region.place,2013,32705,24813,37500,33750,29464,76250,0,27064,33042,33776,0.0,10.5,0.0,56.1,21.0,5.4,0.0,3.2,3.8,Miamitown,OH
17047,1600000US3902820,region.place,2013,27333,18947,46667,35956,26414,28750,59167,31806,20227,22222,4.4,14.1,0.0,29.6,17.4,20.4,4.1,6.3,3.7,Attica,OH
17048,1600000US3955342,region.place,2013,27952,23087,45000,41250,27580,46287,0,25648,0,28404,5.4,23.1,0.0,24.1,30.0,2.7,2.7,5.4,6.6,Newport,OH
17051,1600000US3905816,region.place,2013,40673,8750,41574,25633,23958,40219,0,63576,25911,21722,0.0,28.3,0.0,8.2,30.7,14.3,11.4,2.6,4.5,Berlin,OH
17057,1600000US3945332,region.place,2013,32188,30291,39769,37643,32143,33500,65882,30625,39083,31518,1.3,20.2,2.3,20.4,19.4,17.3,9.3,7.5,2.3,Luckey,OH
17058,1600000US3975980,region.place,2013,28125,24519,44688,40556,30745,41250,0,31938,30139,30288,3.5,17.3,0.6,25.4,22.5,21.3,6.4,1.5,1.5,Sycamore,OH
17060,1600000US3941657,region.place,2013,32188,30278,39167,37462,36250,31625,57045,36231,0,31346,0.0,5.3,3.8,13.7,38.0,15.2,15.6,0.0,8.4,Lake Waynoka,OH
17065,1600000US3956924,region.place,2013,28068,25536,38011,20000,24648,28438,50938,27500,12656,24940,1.0,28.8,6.2,20.5,28.8,11.3,2.7,0.7,0.0,North Randall,OH
17066,1600000US3946844,region.place,2013,35739,21058,51071,40625,31926,44063,61250,33056,13750,29583,0.6,16.2,0.3,16.8,21.4,26.4,3.5,12.8,2.0,Magnolia,OH
17067,1600000US3913904,region.place,2013,28750,18824,34688,28661,24931,42589,65278,25625,20469,24886,2.5,27.7,2.2,20.8,22.3,16.4,2.8,4.7,0.6,Chesapeake,OH
17068,1600000US3982376,region.place,2013,30250,18264,40313,31136,24688,36563,63750,25446,21250,28542,1.1,26.2,0.0,24.4,13.1,18.2,6.5,9.8,0.7,Waynesburg,OH
17072,1600000US3928182,region.place,2013,35855,24375,52237,50329,35050,43125,54250,31250,8750,52105,4.6,13.5,5.3,8.5,19.6,22.1,10.7,11.4,4.3,Frankfort,OH
17074,1600000US3910632,region.place,2013,32143,19637,47083,36625,26923,45114,51250,36429,7386,20000,2.6,20.8,0.0,17.3,20.2,25.7,9.8,2.6,1.0,Butler,OH
17078,1600000US3905116,region.place,2013,30703,16027,50625,37500,25313,17321,41875,28125,13125,33750,3.8,13.6,1.0,26.1,18.5,19.2,4.2,13.6,0.0,Belle Center,OH
17086,1600000US3905550,region.place,2013,70208,40208,188750,118611,68438,78750,160313,27639,0,72321,0.7,1.4,0.0,3.7,9.5,8.1,7.5,6.4,62.7,Bentleyville,OH
17099,1600000US3931472,region.place,2013,23750,17667,42250,38250,23828,31250,45833,21696,38375,35234,0.8,28.0,7.1,12.2,31.1,10.2,3.5,5.9,1.2,Gratis,OH
17100,1600000US3981032,region.place,2013,29375,16944,34423,30000,25370,16667,34792,25400,20938,32426,6.8,18.1,0.8,30.2,21.5,15.8,0.0,6.8,0.0,Warsaw,OH
17101,1600000US3930632,region.place,2013,50347,43264,54271,51563,44133,44938,61250,24444,23523,57770,1.5,5.6,3.0,8.1,24.8,27.4,4.4,11.1,14.1,Glenwillow,OH
17102,1600000US3909316,region.place,2013,28036,18800,46250,37426,26382,31250,0,26944,0,40625,6.9,23.5,1.4,17.3,20.8,18.0,3.8,2.4,5.9,Brookside,OH
17106,1600000US3971976,region.place,2013,60625,38472,65000,57604,48690,67841,61042,31250,15417,47895,2.5,8.4,0.6,9.0,18.4,12.5,13.7,15.9,19.0,Shawnee Hills,OH
17107,1600000US3972760,region.place,2013,26250,16250,27381,25089,19688,43750,61563,22011,13000,17109,6.1,27.0,1.4,20.9,16.9,19.6,8.1,0.0,0.0,Smithfield,OH
17108,1600000US3947362,region.place,2013,26892,25676,40125,30743,26419,0,0,22500,12438,31912,7.5,17.5,0.0,48.9,19.0,7.1,0.0,0.0,0.0,Maple Ridge,OH
17110,1600000US3981732,region.place,2013,35250,15000,36058,30667,22625,24464,32188,26667,18125,21429,5.0,23.4,1.7,17.2,25.1,14.6,1.3,5.4,6.3,Washingtonville,OH
17116,1600000US3956910,region.place,2013,34688,18750,50833,41161,25729,42344,78750,24766,19107,30673,0.0,22.7,0.8,6.1,24.7,13.4,8.5,12.1,11.7,North Perry,OH
